batch,cyc,hour,P,r_on,r_off,spike,rebound,d_total
tau10,7,08-01 01,1.0619999999999998,0.2400000000000002,0.02666666666666669,0.0,0.0,0.040000000000000036
tau10,7,08-01 02,1.0282727272727277,0.18000000000000016,0.0142857142857143,0.0,-0.010000000000000009,0.030000000000000027
tau10,7,08-01 03,0.9915833333333334,0.2400000000000002,0.0,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau10,7,08-01 04,0.9593333333333335,0.18000000000000016,0.02666666666666669,0.020000000000000018,-0.010000000000000009,0.040000000000000036
tau10,8,08-01 06,1.1229166666666666,0.359999999999999,0.013333333333333345,0.020000000000000018,-0.010000000000000009,0.04999999999999982
tau10,8,08-01 07,1.0828333333333335,0.18000000000000016,0.013333333333333345,0.010000000000000009,-0.010000000000000009,0.040000000000000036
tau10,8,08-01 08,1.0490833333333331,0.18000000000000016,0.013333333333333345,0.010000000000000009,-0.010000000000000009,0.030000000000000027
tau10,8,08-01 09,1.0185833333333332,0.18000000000000016,0.013333333333333345,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau10,8,08-01 10,0.9821666666666666,0.30000000000000027,0.013333333333333345,0.030000000000000027,-0.010000000000000009,0.040000000000000036
tau10,8,08-01 11,0.9523214285714285,0.23999999999999955,0.0,0.020000000000000018,-0.019999999999999907,0.020000000000000018
tau10,9,08-01 13,1.11375,0.29999999999999893,0.014634146341463428,0.019999999999999796,-0.020000000000000018,0.039999999999999813
tau10,9,08-01 14,1.0764285714285715,0.2400000000000002,0.029268292682926855,0.020000000000000018,-0.010000000000000009,0.040000000000000036
tau10,9,08-01 15,1.0425,0.2400000000000002,-0.013333333333333345,0.020000000000000018,-0.010000000000000009,0.020000000000000018
tau10,9,08-01 16,1.0136666666666665,0.18000000000000016,0.013333333333333345,0.020000000000000018,-0.010000000000000009,0.040000000000000036
tau10,9,08-01 17,0.9810833333333334,0.18000000000000016,0.013333333333333345,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau10,9,08-01 18,0.9526785714285715,0.18000000000000016,0.0,0.010000000000000009,-0.010000000000000009,0.020000000000000018
tau10,10,08-01 20,1.1089999999999998,0.0,0.013333333333333345,0.0,0.0,0.039999999999999813
tau10,10,08-01 21,1.0785833333333334,0.0,0.013333333333333345,0.0,0.0,0.030000000000000027
tau10,10,08-01 22,1.0495535714285715,0.0,0.014634146341463428,0.0,0.0,0.030000000000000027
tau10,10,08-01 23,1.015508474576271,0.18000000000000016,0.0,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau10,10,08-02 00,0.9857499999999998,0.18000000000000016,0.0,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau10,10,08-02 01,0.9576666666666667,0.18000000000000016,0.040000000000000036,0.020000000000000018,-0.010000000000000009,0.040000000000000036
tau10,11,08-02 04,1.0849166666666668,0.18000000000000016,0.0,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau10,11,08-02 05,1.05375,0.18000000000000016,0.0,0.010000000000000009,-0.010000000000000009,0.030000000000000027
tau10,11,08-02 06,1.02625,0.0,0.0,-0.010000000000000009,-0.010000000000000009,0.030000000000000027
tau10,11,08-02 07,0.9917857142857144,0.1200000000000001,0.014634146341463428,0.020000000000000018,0.0,0.040000000000000036
tau10,11,08-02 08,0.9653333333333333,0.0,0.0,0.010000000000000009,0.010000000000000009,0.020000000000000018
tau10,11,08-02 09,0.9399090909090909,0.0,0.014285714285714141,0.0,0.0,0.009999999999999898
tau10,12,08-02 12,1.0738392857142858,0.2400000000000002,0.0285714285714286,0.020000000000000018,-0.020000000000000018,0.050000000000000044
tau10,12,08-02 13,1.0468333333333333,0.2400000000000002,-0.013333333333333345,0.020000000000000018,-0.020000000000000018,0.020000000000000018
tau10,12,08-02 14,1.01775,0.18000000000000016,0.0,0.030000000000000027,-0.010000000000000009,0.030000000000000027
tau10,12,08-02 15,0.9943333333333335,0.18000000000000016,0.013333333333333345,0.020000000000000018,-0.010000000000000009,0.020000000000000018
tau10,12,08-02 16,0.96275,0.2400000000000002,0.0,0.020000000000000018,-0.020000000000000018,0.030000000000000027
tau10,12,08-02 17,0.9364166666666666,0.23999999999999955,0.013333333333333345,0.029999999999999916,-0.019999999999999907,0.029999999999999916
tau10,13,08-02 20,1.075948275862069,0.18000000000000016,0.0,0.010000000000000009,-0.010000000000000009,0.030000000000000027
tau10,13,08-02 21,1.0523214285714284,0.18000000000000016,0.029268292682926855,0.020000000000000018,-0.010000000000000009,0.040000000000000036
tau10,13,08-02 22,1.0193333333333332,0.2400000000000002,-0.02666666666666669,0.020000000000000018,-0.010000000000000009,0.020000000000000018
tau10,13,08-02 23,0.9949166666666668,0.18000000000000016,0.013333333333333345,0.020000000000000018,-0.020000000000000018,0.030000000000000027
tau10,13,08-03 00,0.9729166666666668,0.18000000000000016,0.013333333333333345,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau10,13,08-03 01,0.9428333333333334,0.23999999999999955,0.0,0.020000000000000018,-0.019999999999999907,0.020000000000000018
