資料,lambda,進度u,r_b真值,r_b回收
真實,1.0,0.5593,,0.00144
真實,1.0,0.5763,,0.00144
真實,1.0,0.5932,,0.001441
真實,1.0,0.6102,,0.001442
真實,1.0,0.6271,,0.001443
真實,1.0,0.6441,,0.001443
真實,1.0,0.661,,0.001444
真實,1.0,0.678,,0.001445
真實,1.0,0.6949,,0.001446
真實,1.0,0.7119,,0.001447
真實,1.0,0.7288,,0.001449
真實,1.0,0.7458,,0.00145
真實,1.0,0.7627,,0.001451
真實,1.0,0.7797,,0.001452
真實,1.0,0.7966,,0.001454
真實,1.0,0.8136,,0.001455
真實,1.0,0.8305,,0.001457
真實,1.0,0.8475,,0.001459
真實,1.0,0.8644,,0.00146
真實,1.0,0.8814,,0.001462
真實,1.0,0.8983,,0.001464
真實,1.0,0.9153,,0.001466
真實,1.0,0.9322,,0.001468
真實,1.0,0.9492,,0.00147
真實,1.0,0.9661,,0.001472
真實,1.0,0.9831,,0.001475
真實,1.0,1.0,,0.001477
真實,10.0,0.0,,0.001228
真實,10.0,0.0169,,0.001227
真實,10.0,0.0339,,0.001226
真實,10.0,0.0508,,0.001226
真實,10.0,0.0678,,0.001225
真實,10.0,0.0847,,0.001224
真實,10.0,0.1017,,0.001224
真實,10.0,0.1186,,0.001223
真實,10.0,0.1356,,0.001222
真實,10.0,0.1525,,0.001222
真實,10.0,0.1695,,0.001221
真實,10.0,0.1864,,0.001221
真實,10.0,0.2034,,0.001221
真實,10.0,0.2203,,0.00122
真實,10.0,0.2373,,0.00122
真實,10.0,0.2542,,0.00122
真實,10.0,0.2712,,0.001219
真實,10.0,0.2881,,0.001219
真實,10.0,0.3051,,0.001219
真實,10.0,0.322,,0.001219
真實,10.0,0.339,,0.001218
真實,10.0,0.3559,,0.001218
真實,10.0,0.3729,,0.001218
真實,10.0,0.3898,,0.001218
真實,10.0,0.4068,,0.001218
真實,10.0,0.4237,,0.001218
真實,10.0,0.4407,,0.001218
真實,10.0,0.4576,,0.001218
真實,10.0,0.4746,,0.001218
真實,10.0,0.4915,,0.001218
真實,10.0,0.5085,,0.001219
真實,10.0,0.5254,,0.001219
真實,10.0,0.5424,,0.001219
真實,10.0,0.5593,,0.001219
真實,10.0,0.5763,,0.001219
真實,10.0,0.5932,,0.00122
真實,10.0,0.6102,,0.00122
真實,10.0,0.6271,,0.00122
真實,10.0,0.6441,,0.00122
真實,10.0,0.661,,0.001221
真實,10.0,0.678,,0.001221
真實,10.0,0.6949,,0.001222
真實,10.0,0.7119,,0.001222
真實,10.0,0.7288,,0.001222
真實,10.0,0.7458,,0.001223
真實,10.0,0.7627,,0.001223
真實,10.0,0.7797,,0.001224
真實,10.0,0.7966,,0.001224
真實,10.0,0.8136,,0.001225
真實,10.0,0.8305,,0.001225
真實,10.0,0.8475,,0.001226
真實,10.0,0.8644,,0.001227
真實,10.0,0.8814,,0.001227
真實,10.0,0.8983,,0.001228
真實,10.0,0.9153,,0.001228
真實,10.0,0.9322,,0.001229
真實,10.0,0.9492,,0.00123
真實,10.0,0.9661,,0.00123
真實,10.0,0.9831,,0.001231
真實,10.0,1.0,,0.001232
